"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1999","1795","0.504","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2000","2558","0.449","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2001","9545","0.541","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2002","9347","0.226","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2003","11724","0.278","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2004","15609","0.39","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2005","9924","0.462","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2006","6485","0.6","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2007","8354","0.337","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2008","11925","0.251","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
