"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1965","1556","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1966","4927","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1967","2621","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1968","1958","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1969","1405","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1970","1824","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1971","1535","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1972","1644","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1973","2415","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","101","Methow River","Methow R.","1.3","","Methow River","1974","1193","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2019). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
